SiteName,SampleType,SiteType,Effort,Author,StartDate,EndDate,Comments,Citation,Datum,Easting_m,Northing_m,Lat_GDA94,Long_GDA94
MOB01A,Troglofauna,Trapping,,Biota Environmental Sciences,2016/12/11,2017/02/02,,Biota Environmental Sciences (2017). Mesa A and K Targeted Troglofauna Survey. Unpublished report prepared for Rio Tinto.,GDA94 MGA zone 50,386843.000,7604453.000,-21.659583,115.906378
MOB01A,Troglofauna,Scraping,,Biota Environmental Sciences,,2017/02/02,,Biota Environmental Sciences (2017). Mesa A and K Targeted Troglofauna Survey. Unpublished report prepared for Rio Tinto.,GDA94 MGA zone 50,386843.000,7604453.000,-21.659583,115.906378
MOB01A,Troglofauna,Trapping,,Biota Environmental Sciences,2017/02/02,2017/03/23,,Biota Environmental Sciences (2017). Mesa A and K Targeted Troglofauna Survey. Unpublished report prepared for Rio Tinto.,GDA94 MGA zone 50,386843.000,7604453.000,-21.659583,115.906378
MOB01B,Troglofauna,Trapping,,Biota Environmental Sciences,2016/12/11,2017/02/02,,Biota Environmental Sciences (2017). Mesa A and K Targeted Troglofauna Survey. Unpublished report prepared for Rio Tinto.,GDA94 MGA zone 50,386852.000,7604447.000,-21.659638,115.906465
MOB01B,Troglofauna,Scraping,,Biota Environmental Sciences,,2017/02/02,,Biota Environmental Sciences (2017). Mesa A and K Targeted Troglofauna Survey. Unpublished report prepared for Rio Tinto.,GDA94 MGA zone 50,386852.000,7604447.000,-21.659638,115.906465
MOB01B,Troglofauna,Trapping,,Biota Environmental Sciences,2017/02/02,2017/03/23,,Biota Environmental Sciences (2017). Mesa A and K Targeted Troglofauna Survey. Unpublished report prepared for Rio Tinto.,GDA94 MGA zone 50,386852.000,7604447.000,-21.659638,115.906465
MOB02A,Troglofauna,Trapping,,Biota Environmental Sciences,2016/12/11,2017/02/02,,Biota Environmental Sciences (2017). Mesa A and K Targeted Troglofauna Survey. Unpublished report prepared for Rio Tinto.,GDA94 MGA zone 50,385172.000,7604191.000,-21.661843,115.890213
MOB02A,Troglofauna,Trapping,,Biota Environmental Sciences,2017/02/02,2017/03/23,,Biota Environmental Sciences (2017). Mesa A and K Targeted Troglofauna Survey. Unpublished report prepared for Rio Tinto.,GDA94 MGA zone 50,385172.000,7604191.000,-21.661843,115.890213
MOB02B,Troglofauna,Trapping,,Biota Environmental Sciences,,2017/02/02,,Biota Environmental Sciences (2017). Mesa A and K Targeted Troglofauna Survey. Unpublished report prepared for Rio Tinto.,GDA94 MGA zone 50,385180.000,7604199.000,-21.661771,115.890291
MOB02B,Troglofauna,Trapping,,Biota Environmental Sciences,2017/02/02,2017/03/23,,Biota Environmental Sciences (2017). Mesa A and K Targeted Troglofauna Survey. Unpublished report prepared for Rio Tinto.,GDA94 MGA zone 50,385180.000,7604199.000,-21.661771,115.890291
MOB03A,Troglofauna,Trapping,,Biota Environmental Sciences,2016/12/11,2017/02/02,,Biota Environmental Sciences (2017). Mesa A and K Targeted Troglofauna Survey. Unpublished report prepared for Rio Tinto.,GDA94 MGA zone 50,384395.000,7601735.000,-21.683978,115.882534
MOB03A,Troglofauna,Scraping,,Biota Environmental Sciences,,2017/02/02,,Biota Environmental Sciences (2017). Mesa A and K Targeted Troglofauna Survey. Unpublished report prepared for Rio Tinto.,GDA94 MGA zone 50,384395.000,7601735.000,-21.683978,115.882534
MOB03A,Troglofauna,Trapping,,Biota Environmental Sciences,2017/02/02,2017/03/23,,Biota Environmental Sciences (2017). Mesa A and K Targeted Troglofauna Survey. Unpublished report prepared for Rio Tinto.,GDA94 MGA zone 50,384395.000,7601735.000,-21.683978,115.882534
MOB03B,Troglofauna,Trapping,,Biota Environmental Sciences,2016/12/11,2017/02/02,,Biota Environmental Sciences (2017). Mesa A and K Targeted Troglofauna Survey. Unpublished report prepared for Rio Tinto.,GDA94 MGA zone 50,384400.000,7601720.000,-21.684114,115.882581
MOB03B,Troglofauna,Scraping,,Biota Environmental Sciences,,2017/02/02,,Biota Environmental Sciences (2017). Mesa A and K Targeted Troglofauna Survey. Unpublished report prepared for Rio Tinto.,GDA94 MGA zone 50,384400.000,7601720.000,-21.684114,115.882581
